reporting_level,welfare,weight,quantile_point
national,0.20259980857372284,483.3324045991898,1
national,0.20259980857372284,483.3324045991898,2
national,0.20259980857372284,483.3324045991898,3
national,0.21439597857439374,483.3324045991898,4
national,0.24074925202059888,483.3324045991898,5
national,0.26710252546680396,483.3324045991898,6
national,0.2892093321147191,483.3324045991898,7
national,0.30107132325918246,483.3324045991898,8
national,0.3073181668690389,483.3324045991898,9
national,0.3089641867262211,483.3324045991898,10
national,0.3114859896461681,483.3324045991898,11
national,0.317015621582345,483.3324045991898,12
national,0.32254525351852187,483.3324045991898,13
national,0.3239062538952947,483.3324045991898,14
national,0.32436421031700086,483.3324045991898,15
national,0.3249314651448059,483.3324045991898,16
national,0.3315346612183471,483.3324045991898,17
national,0.3380550992353756,483.3324045991898,18
national,0.33907259029383985,483.3324045991898,19
national,0.3400900813523042,483.3324045991898,20
national,0.3411075724107685,483.3324045991898,21
national,0.3421250634692328,483.3324045991898,22
national,0.34314255452769715,483.3324045991898,23
national,0.3441600455861615,483.3324045991898,24
national,0.3451775366446258,483.3324045991898,25
national,0.34619502770309013,483.3324045991898,26
national,0.34622413715420053,483.3324045991898,27
national,0.3465500588962704,483.3324045991898,28
national,0.34762115789715925,483.3324045991898,29
national,0.3486922568980481,483.3324045991898,30
national,0.34974588120075656,483.3324045991898,31
national,0.35074667225444683,483.3324045991898,32
national,0.3517351674864937,483.3324045991898,33
national,0.35255854316202956,483.3324045991898,34
national,0.3533819188375654,483.3324045991898,35
national,0.355834945125531,483.3324045991898,36
national,0.36280452530825563,483.3324045991898,37
national,0.3697741054909802,483.3324045991898,38
national,0.3727518892992199,483.3324045991898,39
national,0.37509345739892785,483.3324045991898,40
national,0.3774350254986358,483.3324045991898,41
national,0.37998562985736245,483.3324045991898,42
national,0.3825847607383064,483.3324045991898,43
national,0.3849831711529321,483.3324045991898,44
national,0.3865608518485848,483.3324045991898,45
national,0.38732512006155234,483.3324045991898,46
national,0.3879877863286207,483.3324045991898,47
national,0.38865045259568903,483.3324045991898,48
national,0.3904551516913095,483.3324045991898,49
national,0.39395744184404335,483.3324045991898,50
national,0.39745973199677714,483.3324045991898,51
national,0.40096202214951093,483.3324045991898,52
national,0.40146498181257156,483.3324045991898,53
national,0.4016847936074382,483.3324045991898,54
national,0.4019542355650771,483.3324045991898,55
national,0.402340228176656,483.3324045991898,56
national,0.40272622078823483,483.3324045991898,57
national,0.40294686086872766,483.3324045991898,58
national,0.4030909556600121,483.3324045991898,59
national,0.40328416672386413,483.3324045991898,60
national,0.40414554383091483,483.3324045991898,61
national,0.40500692093796553,483.3324045991898,62
national,0.40586829804501623,483.3324045991898,63
national,0.4082281667607683,483.3324045991898,64
national,0.41082446367174524,483.3324045991898,65
national,0.41342076058272226,483.3324045991898,66
national,0.4157621608533609,483.3324045991898,67
national,0.4160398042457061,483.3324045991898,68
national,0.4163025395013486,483.3324045991898,69
national,0.41644080660935573,483.3324045991898,70
national,0.41657907371736286,483.3324045991898,71
national,0.41671734082537004,483.3324045991898,72
national,0.41685560793337717,483.3324045991898,73
national,0.4175684391643453,483.3324045991898,74
national,0.4185270088866943,483.3324045991898,75
national,0.4194855786090434,483.3324045991898,76
national,0.42052757643397437,483.3324045991898,77
national,0.4227852470977476,483.3324045991898,78
national,0.4250429177615209,483.3324045991898,79
national,0.42730058842529417,483.3324045991898,80
national,0.4295582590890674,483.3324045991898,81
national,0.4305594294601182,483.3324045991898,82
national,0.4306763691616815,483.3324045991898,83
national,0.4313322598068537,483.3324045991898,84
national,0.4327710994740572,483.3324045991898,85
national,0.43341215721356074,483.3324045991898,86
national,0.43367251991065914,483.3324045991898,87
national,0.43427253499774593,483.3324045991898,88
national,0.43487255008483267,483.3324045991898,89
national,0.4355254153715461,483.3324045991898,90
national,0.43624370232353055,483.3324045991898,91
national,0.436961989275515,483.3324045991898,92
national,0.43738248488334946,483.3324045991898,93
national,0.43763742451140347,483.3324045991898,94
national,0.4379199160129746,483.3324045991898,95
national,0.4392197786823026,483.3324045991898,96
national,0.44051964135163063,483.3324045991898,97
national,0.44181950402095865,483.3324045991898,98
national,0.45179830155060924,483.3324045991898,99
national,0.4529527648562545,483.3324045991898,100
national,0.45410881857565516,483.3324045991898,101
national,0.455447128338723,483.3324045991898,102
national,0.4567854381017908,483.3324045991898,103
national,0.45812374786485854,483.3324045991898,104
national,0.4587109304030245,483.3324045991898,105
national,0.45926376214164116,483.3324045991898,106
national,0.45933901197303123,483.3324045991898,107
national,0.4593908650119368,483.3324045991898,108
national,0.45946516815449184,483.3324045991898,109
national,0.45959208091328124,483.3324045991898,110
national,0.46089841129714665,483.3324045991898,111
national,0.4622047416810121,483.3324045991898,112
national,0.4631257972392329,483.3324045991898,113
national,0.4639822746233054,483.3324045991898,114
national,0.4648387520073778,483.3324045991898,115
national,0.46506751632369375,483.3324045991898,116
national,0.46507210093632045,483.3324045991898,117
national,0.4650766855489472,483.3324045991898,118
national,0.46514682252846684,483.3324045991898,119
national,0.4652746042236807,483.3324045991898,120
national,0.4654121562521286,483.3324045991898,121
national,0.4656643523529293,483.3324045991898,122
national,0.4659266053570954,483.3324045991898,123
national,0.46619459037222133,483.3324045991898,124
national,0.46646257538734726,483.3324045991898,125
national,0.46709924603637687,483.3324045991898,126
national,0.4686886535226205,483.3324045991898,127
national,0.4702780610088641,483.3324045991898,128
national,0.47183952846521166,483.3324045991898,129
national,0.4733868524341345,483.3324045991898,130
national,0.4742771303041942,483.3324045991898,131
national,0.474279493136788,483.3324045991898,132
national,0.4742818559693819,483.3324045991898,133
national,0.47428421880197574,483.3324045991898,134
national,0.47470819695652317,483.3324045991898,135
national,0.4755493424405798,483.3324045991898,136
national,0.4759520127000316,483.3324045991898,137
national,0.47621789087690297,483.3324045991898,138
national,0.47750247054586514,483.3324045991898,139
national,0.4787870502148273,483.3324045991898,140
national,0.4800716298837895,483.3324045991898,141
national,0.4893342228495594,483.3324045991898,142
national,0.49041566320553126,483.3324045991898,143
national,0.491748957997295,483.3324045991898,144
national,0.49578027791142393,483.3324045991898,145
national,0.4961120241447591,483.3324045991898,146
national,0.49652057269993705,483.3324045991898,147
national,0.4969585380325453,483.3324045991898,148
national,0.49739650336515356,483.3324045991898,149
national,0.49762184776611756,483.3324045991898,150
national,0.4978284261962661,483.3324045991898,151
national,0.4980350046264147,483.3324045991898,152
national,0.4982415830565633,483.3324045991898,153
national,0.49844613260146947,483.3324045991898,154
national,0.4986318124929411,483.3324045991898,155
national,0.49881749238441264,483.3324045991898,156
national,0.49900317227588425,483.3324045991898,157
national,0.5005416547040465,483.3324045991898,158
national,0.5029439580294377,483.3324045991898,159
national,0.5044121118313025,483.3324045991898,160
national,0.5046275346476107,483.3324045991898,161
national,0.5047018124636157,483.3324045991898,162
national,0.5047760902796206,483.3324045991898,163
national,0.5048744048634278,483.3324045991898,164
national,0.5052827179498306,483.3324045991898,165
national,0.5056910310362335,483.3324045991898,166
national,0.5061165381127829,483.3324045991898,167
national,0.5073427239655977,483.3324045991898,168
national,0.5085689098184124,483.3324045991898,169
national,0.5094346938547173,483.3324045991898,170
national,0.5094706947616809,483.3324045991898,171
national,0.5095066956686446,483.3324045991898,172
national,0.5095426965756082,483.3324045991898,173
national,0.5105956357416782,483.3324045991898,174
national,0.5118778421624373,483.3324045991898,175
national,0.5131600485831962,483.3324045991898,176
national,0.5144010975813238,483.3324045991898,177
national,0.5150220017255884,483.3324045991898,178
national,0.515642905869853,483.3324045991898,179
national,0.5168385260084474,483.3324045991898,180
national,0.5189680382434527,483.3324045991898,181
national,0.521097550478458,483.3324045991898,182
national,0.5217926202524755,483.3324045991898,183
national,0.5220684223073172,483.3324045991898,184
national,0.5231813127796319,483.3324045991898,185
national,0.524650260180372,483.3324045991898,186
national,0.5259259542171564,483.3324045991898,187
national,0.5267509236750885,483.3324045991898,188
national,0.5299097019621004,483.3324045991898,189
national,0.5360768815902167,483.3324045991898,190
national,0.538578544507007,483.3324045991898,191
national,0.5401064552861072,483.3324045991898,192
national,0.5431061362679255,483.3324045991898,193
national,0.5460610786137152,483.3324045991898,194
national,0.547196013221684,483.3324045991898,195
national,0.5483030512724345,483.3324045991898,196
national,0.5490941249793886,483.3324045991898,197
national,0.5498851986863426,483.3324045991898,198
national,0.5504996577758011,483.3324045991898,199
national,0.5506662837956918,483.3324045991898,200
national,0.5508320294244116,483.3324045991898,201
national,0.5509900712654269,483.3324045991898,202
national,0.5511481131064421,483.3324045991898,203
national,0.5513219557745149,483.3324045991898,204
