Country,Year,Survey,Valid records,LIS ceiling (PPP/day),outdetect threshold (PPP/day),Population affected (%) - LIS,Population affected (%) - outdetect,Welfare affected (%) - LIS,Welfare affected (%) - outdetect,Mean (PPP/day) - Raw,Mean (PPP/day) - LIS-capped,Mean (PPP/day) - Change (%) LIS,Mean (PPP/day) - outdetect-capped,Mean (PPP/day) - Change (%) outdetect,Gini - Raw,Gini - LIS-capped,Gini - Change (%) LIS,Gini - outdetect-capped,Gini - Change (%) outdetect,MLD - Raw,MLD - LIS-capped,MLD - Change (%) LIS,MLD - outdetect-capped,MLD - Change (%) outdetect,Atkinson(2) - Raw,Atkinson(2) - LIS-capped,Atkinson(2) - Change (%) LIS,Atkinson(2) - outdetect-capped,Atkinson(2) - Change (%) outdetect
MWI,1997,IHS-I,10693,38.78152104616517,15.633147241737582,0.43470964283369884,1.568156791792662,41.59642829089263,47.13030852120089,4.615166308607595,2.8640089761674603,-37.94353692464145,2.6851764488365717,-41.818424964913234,0.6575557052764734,0.4483008375177918,-31.823139253380685,0.41214885141551294,-37.3210743807291,0.8110758736156535,0.33659107432337243,-58.5006674131607,0.2798484150092342,-65.4966416690818,0.6467177217598545,0.43074682425119526,-33.394924901850096,0.39318728343490406,-39.20264279058892
BLZ,1993,LFS,704,290.6304489442844,212.827423159542,0.24615525309027725,0.3078845890045573,20.090199005553615,21.49317419301437,10.569185313610367,9.16121706799651,-13.321445351145078,8.952794740457344,-15.293426363444794,0.6010495907851836,0.5399243768918072,-10.16974553023574,0.529276488165176,-11.941294648624002,0.688425294497802,0.5476199899741743,-20.453243895743768,0.5254458707759146,-23.674235247381326,0.7317102503619082,0.6904809741273271,-5.63464516373644,0.6832783871641782,-6.6189947692785855
BLZ,1994,LFS,660,228.8531034160555,237.39753337954588,0.2825132377631409,0.2825132377631409,19.958915562946736,19.958915562946736,10.323675579587414,8.909722199847138,-13.696220583839624,8.933861345585399,-13.462397411538573,0.605752189612845,0.5434170111543823,-10.290541169698953,0.5446430573849492,-10.088140542579394,0.6811658932975613,0.5365361029381723,-21.23268234397765,0.5391381859751319,-20.850678038923164,0.7003588429060736,0.6528134724895656,-6.788715655994714,0.6537510888626689,-6.65483908934601
BLZ,1997,LFS,753,295.79204689622014,197.23265725996927,0.11368187161699544,0.1640636101745275,18.243989219591548,19.434986713822067,8.547737420080367,7.324551061647755,-14.310060058221952,7.21007280609921,-15.649341436702436,0.6022516403585005,0.535916569385902,-11.014510634310836,0.5285666675887462,-12.234914416487463,0.7208824066360704,0.5677713079941007,-21.239400106384643,0.5524914066891007,-23.359010900647505,0.7955624969439166,0.7614227117652621,-4.291276337157601,0.7576355293964192,-4.767314660154353
SYC,2013,HBS,1759,263.64054982046747,127.67279509812307,0.22172423448165568,0.8836432037690701,12.063038524619003,17.610596158180403,24.128766611480405,21.802659190494776,-9.640390901202856,21.007718942529294,-12.934965633370265,0.46814630234174426,0.4115393722772325,-12.09171786284644,0.3895100204459149,-16.797373278925388,0.4001839051914722,0.30186616992149684,-24.568138297049746,0.26918999818121137,-32.733427134603374,0.5410047161390921,0.4920667153645182,-9.04576232233657,0.47299873800958037,-12.570311514997478
MDV,2002,HIES,834,63.891703555340925,33.363930586829476,0.3232300490066554,0.4894373123794973,11.824635395117106,12.720009439617476,7.056232587283891,6.4283759959192475,-8.897901020101163,6.321974661268356,-10.40580673798578,0.4131202705279362,0.3559252342550049,-13.84464533774642,0.3451449378940177,-16.45412667527818,0.30081794128617956,0.21079090595851024,-29.927415546675505,0.19641278775870807,-34.70708996979236,0.38341681829047947,0.3232684699407674,-15.687456960780267,0.3120348485049579,-18.617328813010513
MWI,2016,IHS-IV,12445,30.01232326683246,12.287048562662552,0.10932506518724187,0.8351408615353793,10.966538935266748,15.944994924314011,2.5000184059761996,2.258663906071655,-9.654108918862192,2.2040047612598688,-11.840458614573457,0.44694307712483217,0.3878638514894578,-13.218512302602115,0.3727922828459824,-16.590657306039724,0.3484811252481691,0.2478717170724628,-28.870834282361145,0.22659332684803324,-34.97687236671256,0.4168111206485602,0.3545057232152272,-14.948113029322595,0.3386902188952766,-18.74251858533118
ETH,1995,HICES,11524,27.006841208176656,14.02826390880502,0.40583711172701137,1.0137116027063373,10.890169273109727,15.842073875310732,2.3790367272959196,2.2295593849519086,-6.283103603613183,2.1443541103387473,-9.864606723575854,0.4456451322100754,0.40856226748817603,-8.32116454139089,0.3853424137645485,-13.53155551065247,0.3411386337653015,0.2786002688625142,-18.33224346727401,0.24415997440834736,-28.427932153727888,0.41742145554970866,0.3784111405992575,-9.34554619361333,0.3539351027332517,-15.209173360015916
MDG,1993,EPM,4501,31.980855702235825,16.135549197829658,0.2723945318042228,0.5485407173893954,8.808477206084754,11.702392798277133,2.1035774658146953,2.005398426383162,-4.66724145067362,1.9459186252735097,-7.4947960369087685,0.45255697506501813,0.4258304837410367,-5.9056633300462735,0.4083986247118371,-9.757522872526025,0.36022807760790754,0.3142280975698684,-12.769682014656302,0.2867747064681653,-20.390795639115346,0.470074931833383,0.4441548231404787,-5.514037643277603,0.42724334291247335,-9.111651360317852
PRY,2002,EPH,3730,583.3859013162468,166.90607736563933,0.055783742051514054,0.30443047495579606,8.422932540958925,13.993131933052668,12.042783464584591,11.35386242366403,-5.7206130372313035,10.865733850027723,-9.77390001255386,0.5725296559177994,0.5466158475369433,-4.526194951301643,0.5263125613074514,-8.072436795655447,0.6134965031430089,0.5551531937950909,-9.509966079516163,0.5129267683092671,-16.392878250896647,0.6733818831284393,0.6535643456628306,-2.9429864334245437,0.638010879848947,-5.252740557135793
MOZ,2014,IOF,32454,63.790929504179296,35.422886920083585,0.18900954609303236,0.493561542930828,8.03678531002836,12.914706196822369,2.8698507967735174,2.759777995823066,-3.8354886279873046,2.6740517453164583,-6.822621290179609,0.5398899144268315,0.5215684685357171,-3.39355216712377,0.5063345815925364,-6.215217572626597,0.5110325124700428,0.472890856818432,-7.463645603927526,0.44319482089427564,-13.274633202470431,0.6252468235766132,0.6103042235658309,-2.389872198839138,0.5978290714265968,-4.385108586906217
BFA,1998,EP-II,8324,26.01470007537948,20.674453331204134,0.28557189001176925,0.46721353538977134,7.9044190822298575,10.076614620162902,1.927792198611734,1.8497020948850837,-4.0507531767628,1.8301298524112912,-5.066020407737537,0.4994396989127323,0.47834434365015555,-4.223804256750285,0.47280585714244827,-5.3327442388470985,0.42785637973314883,0.38795238805797694,-9.32649215142234,0.37816618790999557,-11.613755030167994,0.5090146189671356,0.48830352363636054,-4.06886061009425,0.48284941799541126,-5.140363360254241
