# LIS ceiling (PPP/day): 48.5667
# outdetect threshold (PPP/day): 20.2228
Rank (largest first),Welfare (PPP/day),Sampling weight,Flagged by LIS (> ceiling),Flagged by outdetect (> threshold),Flagged by both
1,53435.87736543687,324.3661193847656,True,True,True
2,12186.407816487754,148.39999389648438,True,True,True
3,543.6131314845201,151.02127075195312,True,True,True
4,442.96033824619815,1827.4312744140625,True,True,True
5,321.8871781529243,75.51063537597656,True,True,True
6,193.3749775515859,261.0616149902344,True,True,True
7,169.10528874213057,1305.30810546875,True,True,True
8,156.52938647891995,196.6864471435547,True,True,True
9,155.75599114333724,983.4322509765625,True,True,True
10,130.23776649885605,261.0616149902344,True,True,True
11,127.79021830214,786.7457885742188,True,True,True
12,111.80127163042012,1044.2464599609375,True,True,True
13,111.46021960134956,786.7457885742188,True,True,True
14,100.88785347145638,983.4322509765625,True,True,True
15,98.25054520051549,590.059326171875,True,True,True
16,95.27155034574889,196.6864471435547,True,True,True
17,93.43759544544238,196.6864471435547,True,True,True
18,90.46960659037353,1180.11865234375,True,True,True
19,89.02839877985751,1180.11865234375,True,True,True
20,86.16439934794174,1044.2464599609375,True,True,True
21,85.8237985578082,522.1232299804688,True,True,True
22,83.3261487378685,783.184814453125,True,True,True
23,81.50722573465076,1180.11865234375,True,True,True
24,80.94520763861853,393.3728942871094,True,True,True
25,80.73622055531249,1044.2464599609375,True,True,True
26,80.4716253236297,522.1232299804688,True,True,True
27,77.3600367274693,522.1232299804688,True,True,True
28,76.76628384307095,1305.30810546875,True,True,True
29,74.62540185830444,1180.11865234375,True,True,True
30,73.92847742132629,983.4322509765625,True,True,True
