# LIS ceiling (PPP/day): 48.5667
# outdetect threshold (PPP/day): 20.2250
"Rank (largest first)","Welfare (PPP/day)","Sampling weight","Flagged by LIS (> ceiling)","Flagged by outdetect (> threshold)","Flagged by both"
1,53435.8773654369,324.366119384766,TRUE,TRUE,TRUE
2,12186.4078164878,148.399993896484,TRUE,TRUE,TRUE
3,543.61313148452,151.021270751953,TRUE,TRUE,TRUE
4,442.960338246198,1827.43127441406,TRUE,TRUE,TRUE
5,321.887178152924,75.5106353759766,TRUE,TRUE,TRUE
6,193.374977551586,261.061614990234,TRUE,TRUE,TRUE
7,169.105288742131,1305.30810546875,TRUE,TRUE,TRUE
8,156.52938647892,196.686447143555,TRUE,TRUE,TRUE
9,155.755991143337,983.432250976562,TRUE,TRUE,TRUE
10,130.237766498856,261.061614990234,TRUE,TRUE,TRUE
11,127.79021830214,786.745788574219,TRUE,TRUE,TRUE
12,111.80127163042,1044.24645996094,TRUE,TRUE,TRUE
13,111.46021960135,786.745788574219,TRUE,TRUE,TRUE
14,100.887853471456,983.432250976562,TRUE,TRUE,TRUE
15,98.2505452005155,590.059326171875,TRUE,TRUE,TRUE
16,95.2715503457489,196.686447143555,TRUE,TRUE,TRUE
17,93.4375954454424,196.686447143555,TRUE,TRUE,TRUE
18,90.4696065903735,1180.11865234375,TRUE,TRUE,TRUE
19,89.0283987798575,1180.11865234375,TRUE,TRUE,TRUE
20,86.1643993479417,1044.24645996094,TRUE,TRUE,TRUE
21,85.8237985578082,522.123229980469,TRUE,TRUE,TRUE
22,83.3261487378685,783.184814453125,TRUE,TRUE,TRUE
23,81.5072257346508,1180.11865234375,TRUE,TRUE,TRUE
24,80.9452076386185,393.372894287109,TRUE,TRUE,TRUE
25,80.7362205553125,1044.24645996094,TRUE,TRUE,TRUE
26,80.4716253236297,522.123229980469,TRUE,TRUE,TRUE
27,77.3600367274693,522.123229980469,TRUE,TRUE,TRUE
28,76.766283843071,1305.30810546875,TRUE,TRUE,TRUE
29,74.6254018583044,1180.11865234375,TRUE,TRUE,TRUE
30,73.9284774213263,983.432250976562,TRUE,TRUE,TRUE
