Country,Year,Survey,Valid records,LIS ceiling (PPP/day),LIS population share above ceiling (%),LIS welfare share above ceiling (%)
AGO,2000,HBS,10034,316.17351319330055,0.009865192198906468,0.8015753547016705
AGO,2008,IBEP-MICS,9000,174.6913023428673,0.0036727998007605573,0.14558610015617854
AGO,2018,IDREA,11971,257.5047336760748,0.02643342620107806,3.6968155662577042
ALB,1996,EWS,1503,74.17494950742157,0.0,0.0
ALB,2002,LSMS,3599,82.64827021400262,0.05455119588989981,0.6765943856207781
ALB,2005,LSMS,3638,91.91232892789678,0.035852938202199175,0.3863102996345399
ALB,2008,LSMS,3598,87.51892342714747,0.07854468392195837,1.3375929284124357
ALB,2012,LSMS,6670,92.6460673409611,0.032777439499091565,0.35446086244859704
ALB,2014,HBS,6565,183.3506007345184,0.0,0.0
ALB,2015,HBS,7333,175.45173443749476,0.0,0.0
ALB,2016,HBS,7352,203.0076774356069,0.0,0.0
ALB,2017,HBS,7516,192.38917607244747,0.0,0.0
ALB,2017,SILC-C,4479,256.7549247037149,0.0,0.0
ALB,2018,HBS,7559,154.22549652006106,0.0,0.0
ALB,2018,SILC-C,4978,230.6467857287527,0.0,0.0
ALB,2019,HBS,7132,146.912259486561,0.0,0.0
ALB,2019,SILC-C,5017,199.4376337980706,0.0,0.0
ALB,2020,HBS,5797,145.17077893275993,0.0,0.0
ARG,1986,EPH,1211,846.6045165739923,0.0,0.0
ARG,1987,EPH,1384,920.0194802532981,0.017031990618496137,0.6484772526605269
ARG,1991,EPH,758,546.0625761743363,0.11151494096858204,3.8755194176283925
ARG,1992,EPH,2379,718.2953970131761,0.008229261131555468,0.2641922031838773
ARG,1993,EPH,2482,746.9299499654252,0.0,0.0
ARG,1994,EPH,2508,755.5268231398961,0.0,0.0
ARG,1995,EPH,2584,729.3646277821728,0.0,0.0
ARG,1996,EPH,2486,878.1978650738107,0.0,0.0
ARG,1997,EPH,2612,999.0356586597597,0.0,0.0
ARG,1998,EPH,3296,1135.6802223133557,0.00023801407010258158,0.016167870847914767
ARG,1999,EPH,3070,924.5268857037661,0.0,0.0
ARG,2000,EPH,3003,1171.9905480439795,0.00024034681358495126,0.016170557349750043
ARG,2001,EPH,3000,1305.8498160466186,0.0,0.0
ARG,2002,EPH,2529,871.296528433411,0.0,0.0
ARG,2003,EPHC-S2,23455,1249.7231943875647,0.006806062096996158,1.7148477390319061
ARG,2004,EPHC-S2,23943,1168.870022964406,0.0,0.0
