"Country","Year","Survey","Valid records","Median log welfare (unweighted)","S estimate, log space (unweighted, 1.1926 scaled)","outdetect threshold (PPP/day)","Records flagged (top)","Population share flagged (%)","Welfare share flagged (%)","mean_ppp_day original","mean_ppp_day outdetect-capped","mean_ppp_day change (%)","gini original","gini outdetect-capped","gini change (%)","mld original","mld outdetect-capped","mld change (%)","atkinson_2 original","atkinson_2 outdetect-capped","atkinson_2 change (%)"
"MWI",1997,"IHS-I",10693,0.777359414245215,0.668047834090412,16.1432647044469,206,1.48931367670054,46.860046720085,4.61516630860759,2.69292106929375,-41.6506169177203,0.657555705276473,0.413795791448769,-37.0706104245896,0.811075873615654,0.282240925907321,-65.2016617571012,0.646717721759855,0.394902162876502,-38.937476183289
"BLZ",1993,"LFS",704,2.07062746830933,1.09695141164934,213.040375323908,11,0.307884589004557,21.4931741930144,10.5691853136104,8.95345038735338,-15.287222981854,0.601049590785184,0.529310733038427,-11.9355971365092,0.688425294497802,0.52551602275255,-23.6640450383352,0.731710250361908,0.683301567197268,-6.61582684412268
"COM",2004,"EIM",2987,1.69877607293123,0.835082439858797,66.9551767989343,48,1.40960663564664,20.3288638950524,8.68719793956448,7.86499390920334,-9.46454813256347,0.559251601662275,0.513620126414322,-8.15938213003267,0.546712000682314,0.453260139878441,-17.0934350603684,0.589956387361422,0.547188599784959,-7.24931342259755
"BLZ",1994,"LFS",660,2.04465818480226,1.14269013949552,238.109012206983,6,0.282513237763141,19.9589155629467,10.3236755795874,8.93587136745679,-13.4429273898792,0.605752189612845,0.544744849230274,-10.0713363366565,0.681165893297561,0.539354695578385,-20.8188928885825,0.700358842906074,0.653828935510309,-6.64372383772479
"BLZ",1997,"LFS",753,1.85081659334315,1.14452247996034,197.232657259969,5,0.164063610174528,19.4349867138221,8.54773742008037,7.21007280609921,-15.6493414367025,0.602251640358501,0.528566667588746,-12.2349144164875,0.72088240663607,0.5524914066891,-23.3590109006475,0.795562496943917,0.757635529396419,-4.76731466015436
"SYC",2013,"HBS",1759,2.89174516499448,0.652575179248496,127.672795098123,20,0.88364320376907,17.6105961581804,24.1287666114804,21.0077189425293,-12.9349656333703,0.468146302341744,0.389510020445914,-16.7973732789254,0.400183905191472,0.269189998181211,-32.7334271346034,0.541004716139092,0.47299873800958,-12.5703115149975
"RWA",2010,"EICV-III",14301,0.684032510424327,0.680813988857048,15.2789257507324,344,1.75195519844755,17.044691213223,2.91025857948344,2.68189392506105,-7.84688536036959,0.472224139251352,0.427858564096717,-9.39502483396352,0.374901244227832,0.301670143540668,-19.5334376224851,0.460312631280942,0.414706213077085,-9.90770513443118
"RUS",2013,"HBS",187818,2.81022231247567,0.531205643284106,81.764179340558,1405,3.34992984024361,16.6332798176224,25.646017755272,24.1192865023201,-5.95309286424407,0.408844243333096,0.372510176787678,-8.88701923480814,0.276595447626698,0.228374148881637,-17.4338728850453,0.393756848885281,0.356602157720944,-9.43594791291157
"GNB",2010,"ILAP-II",3129,0.606987721981794,0.792228606530304,19.760273663134,16,1.81858921308156,16.4536916266173,2.59287510434962,2.52560963572975,-2.59424252664646,0.506642397987344,0.493948226333903,-2.50554862835575,0.446719019246204,0.423539905908091,-5.18874557372222,0.557732455385751,0.546028250756019,-2.09853389680135
"CHL",2000,"CASEN",32734,1.97298489874571,0.838799725914896,89.0665707860969,381,1.62423535679296,16.385974360325,14.0196821965597,13.1690714002232,-6.06726161414164,0.525547897924653,0.49532453373278,-5.75082962204255,0.491016809454539,0.434314005158883,-11.5480372980807,0.627628110776307,0.603678371384718,-3.81591247752833
