"Country","Year","Survey","Welfare share above ceiling (%)","Welfare share flagged (%)","LIS population share above ceiling (%)","Population share flagged (%)","LIS: welfare >= 5%","outdetect: welfare >= 5%","LIS: population >= 1%","outdetect: population >= 1%"
"MWI",1997,"IHS-I",41.5964282908926,46.860046720085,0.434709642833699,1.48931367670054,TRUE,TRUE,FALSE,TRUE
"BLZ",1993,"LFS",20.0901990055536,21.4931741930144,0.246155253090277,0.307884589004557,TRUE,TRUE,FALSE,FALSE
"BLZ",1994,"LFS",19.9589155629467,19.9589155629467,0.282513237763141,0.282513237763141,TRUE,TRUE,FALSE,FALSE
"BLZ",1997,"LFS",18.2439892195915,19.4349867138221,0.113681871616995,0.164063610174528,TRUE,TRUE,FALSE,FALSE
"SYC",2013,"HBS",12.063038524619,17.6105961581804,0.221724234481656,0.88364320376907,TRUE,TRUE,FALSE,FALSE
"MDV",2002,"HIES",11.8246353951171,12.7200094396175,0.323230049006655,0.489437312379497,TRUE,TRUE,FALSE,FALSE
"MWI",2016,"IHS-IV",10.9665389352667,15.7904990684211,0.109325065187242,0.804006529384597,TRUE,TRUE,FALSE,FALSE
"ETH",1995,"HICES",10.8901692731097,15.6967199641978,0.405837111727011,0.989494499439391,TRUE,TRUE,FALSE,FALSE
"MDG",1993,"EPM",8.80847720608475,11.6140460788368,0.272394531804223,0.537383625275614,TRUE,TRUE,FALSE,FALSE
"PRY",2002,"EPH",8.42293254095893,13.9931319330527,0.0557837420515141,0.304430474955796,TRUE,TRUE,FALSE,FALSE
