Country,Year,Survey,Valid records,LIS ceiling (PPP/day),Welfare share above ceiling (%),mean_ppp_day original,mean_ppp_day LIS-capped,mean_ppp_day change (%),gini original,gini LIS-capped,gini change (%),mld original,mld LIS-capped,mld change (%),atkinson_2 original,atkinson_2 LIS-capped,atkinson_2 change (%)
BFA,1998,EP-II,8324,26.01470007537948,7.9044190822298575,1.927792198611734,1.8497020948850837,-4.0507531767628,0.4994396989127323,0.47834434365015555,-4.223804256750285,0.42785637973314883,0.38795238805797694,-9.32649215142234,0.5090146189671356,0.48830352363636054,-4.06886061009425
BLZ,1993,LFS,704,290.6304489442844,20.090199005553615,10.569185313610367,9.16121706799651,-13.321445351145078,0.6010495907851836,0.5399243768918072,-10.16974553023574,0.688425294497802,0.5476199899741743,-20.453243895743768,0.7317102503619082,0.6904809741273271,-5.63464516373644
BLZ,1994,LFS,660,228.8531034160555,19.958915562946736,10.323675579587414,8.909722199847138,-13.696220583839624,0.605752189612845,0.5434170111543823,-10.290541169698953,0.6811658932975613,0.5365361029381723,-21.23268234397765,0.7003588429060736,0.6528134724895656,-6.788715655994714
BLZ,1997,LFS,753,295.79204689622014,18.243989219591548,8.547737420080367,7.324551061647755,-14.310060058221952,0.6022516403585005,0.535916569385902,-11.014510634310836,0.7208824066360704,0.5677713079941007,-21.239400106384643,0.7955624969439166,0.7614227117652621,-4.291276337157601
CAF,2008,ECASEB,6894,113.49041424331517,5.465743904644766,3.038541222947998,2.960684796802632,-2.5622961952061263,0.5623660815101582,0.5508655623436036,-2.0450236144526124,0.5706369586184659,0.5450615169369293,-4.4819111863093735,0.6318983263875644,0.6222193477887845,-1.5317303741113952
COM,2004,EIM,2987,178.87545289874745,7.614487639622767,8.68719793956448,8.36560480622517,-3.701920176984408,0.559251601662275,0.5423277325102456,-3.0261637341272407,0.5467120006823136,0.5097512277627507,-6.760556357540115,0.589956387361422,0.5741969811487282,-2.6712832592893254
ETH,1995,HICES,11524,27.006841208176656,10.890169273109727,2.3790367272959196,2.2295593849519086,-6.283103603613183,0.4456451322100754,0.40856226748817603,-8.32116454139089,0.3411386337653015,0.2786002688625142,-18.33224346727401,0.41742145554970866,0.3784111405992575,-9.34554619361333
MDG,1993,EPM,4501,31.980855702235825,8.808477206084754,2.1035774658146953,2.005398426383162,-4.66724145067362,0.45255697506501813,0.4258304837410367,-5.9056633300462735,0.36022807760790754,0.3142280975698684,-12.769682014656302,0.470074931833383,0.4441548231404787,-5.514037643277603
MDV,2002,HIES,834,63.891703555340925,11.824635395117106,7.056232587283891,6.4283759959192475,-8.897901020101163,0.4131202705279362,0.3559252342550049,-13.84464533774642,0.30081794128617956,0.21079090595851024,-29.927415546675505,0.38341681829047947,0.3232684699407674,-15.687456960780267
MMR,2015,MPLCS,3648,67.32987378704806,7.422400880498472,6.414801572006169,6.122335808532823,-4.559233207612379,0.3806850928508574,0.35115999522282904,-7.755779824978736,0.2505118190435618,0.20594629146896115,-17.789790415777183,0.3449080901034578,0.3136690420048994,-9.057209440691283
