file,country_code,survey_year,survey_name,weight_column,valid_records,lis_ceiling_ppp_day,records_above_lis,population_share_above_lis_pct,welfare_share_above_lis_pct,maximum_to_lis_ceiling,mean_change_from_lis_top_coding_pct,gini_change_from_lis_top_coding
MWI_1997.dta,MWI,1997,IHS-I,weight,10698,48.56673229,59,0.434709643,41.59642864,1100.256798,-37.94353715,-0.209254868
BLZ_1993.dta,BLZ,1993,LFS,weight,9097,353.7970176,22,0.246155253,20.09019884,9.8304,-13.3214454,-0.061125214
BLZ_1997.dta,BLZ,1997,LFS,weight,10122,360.0804206,11,0.113681872,18.24398969,11.38536193,-14.31006105,-0.066335076
SYC_1999.dta,SYC,1999,HES,weight,813,415.2609728,1,0.151653018,4.341436696,1.496755526,-1.440871694,-0.008343513
ECU_2006.dta,ECU,2006,ENEMDU,weight_p,77636,574.4370555,8,0.009192399,3.766983857,57.29923722,-3.410024487,-0.016872174
MWI_2004.dta,MWI,2004,IHS-II,weight_p,52691,35.45310092,65,0.128339824,2.239398499,3.008593107,-0.579238545,-0.003499174
MWI_2019.dta,MWI,2019,IHS-V,weight_p,50476,35.44925128,34,0.045998503,1.196082716,6.638555482,-0.566866201,-0.003502675
AGO_2000.dta,AGO,2000,HBS,weight,10100,358.5974828,5,0.009865192,0.801575351,2.216676231,-0.379403843,-0.001829434
ZWE_2019.dta,ZWE,2019,PICES,weight_p,987700,154.2279972,72,0.013026864,0.540678936,2.402334335,-0.151802882,-0.000754392
AGO_2008.dta,AGO,2008,IBEP-MICS,weight_p,45398,198.1312318,5,0.0036728,0.145586103,2.094913072,-0.047271105,-0.000270908
BWA_1993.dta,BWA,1993,HIES,weight,10,0.083834066,0,0,0,0.115823622,0,0
KEN_1992.dta,KEN,1992,WMS-I,weight,10,0.789477499,0,0,0,0.140983939,0,0
SWZ_1994.dta,SWZ,1994,HIES,weight,20,542.0971156,0,0,0,0.165347666,0,0
