Country,Year,Country records,Country records above LIS,Country population share above LIS (%),Country LIS ceiling,GMD records,GMD records above LIS,GMD population share above LIS (%),Difference (percentage points)
AGO,2000,10100,5,0.009865192198906468,358.59748281833873,10034,5,0.00986519219890647,1.734723475976807e-18
AGO,2008,45398,5,0.0036727998007605573,198.1312318150791,9000,2,0.0036727998007605573,0.0
BLZ,1993,9097,22,0.24615525309027725,353.7970175855904,704,9,0.24615525309027725,0.0
BLZ,1997,10122,11,0.11368187161699544,360.08042056891475,753,4,0.11368187161699544,0.0
ECU,2006,77636,8,0.009192398922379472,574.4370555112255,16647,5,0.009192398922379472,0.0
MWI,1997,10698,59,0.43470964283369884,48.56673229003119,10693,59,0.43470964283369884,0.0
MWI,2004,52691,65,0.12833982389675275,35.453100918513414,11273,23,0.12833982314250078,-7.542519664394121e-10
MWI,2019,50476,34,0.045998503134704764,35.44925128022751,11432,21,0.045998503134704764,0.0
SYC,1999,813,1,0.1516530178950561,415.2609728438671,813,1,0.1516530178950561,0.0
ZWE,2019,987700,72,0.013026863587949687,154.22799723298434,168598,34,0.013026863587949687,0.0
