Survey,Year,Country,Valid records,Records above LIS ceiling,Weighted population share above ceiling,Welfare share above ceiling
HBS,2000,AGO,10034,5,0.00986519219890647,0.8015753547016705
IBEP-MICS,2008,AGO,9000,2,0.0036727998007605573,0.14558610015617857
LFS,1993,BLZ,704,9,0.24615525309027725,20.090199005553615
LFS,1997,BLZ,753,4,0.11368187161699544,18.243989219591548
ENEMDU,2006,ECU,16647,5,0.009192398922379472,3.766983801697639
IHS-I,1997,MWI,10693,59,0.43470964283369884,41.59642829089263
IHS-II,2004,MWI,11273,23,0.12833982314250078,2.2393984634118627
IHS-V,2019,MWI,11432,21,0.045998503134704764,1.196082716449422
HES,1999,SYC,813,1,0.1516530178950561,4.3414367231424364
PICES,2019,ZWE,168598,34,0.013026863587949687,0.5406789401281327
