Survey,Year,Country,Records,Records above LIS ceiling,Weighted population share above ceiling,Welfare share above ceiling
HBS,2000,AGO,10034,5,0.00986519219890647,0.8015753547016705
IBEP-MICS,2008,AGO,9000,2,0.0036727998007605573,0.14558610015617857
IDREA,2018,AGO,11971,2,0.02643342620107806,3.6968155662577042
EWS,1996,ALB,1503,0,0.0,0.0
LSMS,2002,ALB,3599,5,0.05455119588989981,0.6765943856207781
LSMS,2005,ALB,3638,1,0.035852938202199175,0.3863102996345399
LSMS,2008,ALB,3598,4,0.07854468392195837,1.3375929284124357
LSMS,2012,ALB,6670,3,0.032777439499091565,0.35446086244859704
HBS,2014,ALB,6565,0,0.0,0.0
HBS,2015,ALB,7333,0,0.0,0.0
HBS,2016,ALB,7352,0,0.0,0.0
HBS,2017,ALB,7516,0,0.0,0.0
SILC-C,2017,ALB,4479,0,0.0,0.0
HBS,2018,ALB,7559,0,0.0,0.0
SILC-C,2018,ALB,4978,0,0.0,0.0
HBS,2019,ALB,7132,0,0.0,0.0
SILC-C,2019,ALB,5017,0,0.0,0.0
HBS,2020,ALB,5797,0,0.0,0.0
EPH,1986,ARG,1211,0,0.0,0.0
EPH,1987,ARG,1384,1,0.017031990618496137,0.6484772526605269
EPH,1991,ARG,758,4,0.11151494096858204,3.8755194176283925
EPH,1992,ARG,2379,1,0.008229261131555468,0.2641922031838773
EPH,1993,ARG,2482,0,0.0,0.0
EPH,1994,ARG,2508,0,0.0,0.0
EPH,1995,ARG,2584,0,0.0,0.0
EPH,1996,ARG,2486,0,0.0,0.0
EPH,1997,ARG,2612,0,0.0,0.0
EPH,1998,ARG,3296,1,0.00023801407010258158,0.016167870847914767
EPH,1999,ARG,3070,0,0.0,0.0
EPH,2000,ARG,3003,1,0.00024034681358495126,0.016170557349750043
EPH,2001,ARG,3000,0,0.0,0.0
EPH,2002,ARG,2529,0,0.0,0.0
EPHC-S2,2003,ARG,23455,1,0.006806062096996158,1.7148477390319061
EPHC-S2,2004,ARG,23943,0,0.0,0.0
EPHC-S2,2005,ARG,23983,0,0.0,0.0
EPHC-S2,2006,ARG,32418,4,0.006013380570750555,0.9669997235202528
EPHC-S2,2007,ARG,15375,0,0.0,0.0
EPHC-S2,2008,ARG,31488,4,0.013346889407847543,0.6720801847994603
EPHC-S2,2009,ARG,30857,1,0.00046935999581086,0.037155692332021116
EPHC-S2,2010,ARG,30843,4,0.0038724923032698037,0.150567544312103
EPHC-S2,2011,ARG,30077,0,0.0,0.0
EPHC-S2,2012,ARG,29011,0,0.0,0.0
EPHC-S2,2013,ARG,29413,1,0.0002497167957917101,0.00809982993421659
EPHC-S2,2014,ARG,32626,1,0.00030974155315897857,0.014565487904460642
EPHC-S2,2016,ARG,32117,2,0.004901980658184889,0.2448475174508844
EPHC-S2,2017,ARG,32248,0,0.0,0.0
EPHC-S2,2018,ARG,31751,0,0.0,0.0
EPHC-S2,2019,ARG,32258,2,0.0006084721094532441,0.036993594206204225
EPHC-S2,2020,ARG,24594,3,0.0012388677322865624,0.053777029355362764
EPHC-S2,2021,ARG,28897,3,0.02106109420484815,1.106920109681268
EPHC-S2,2022,ARG,28913,0,0.0,0.0
ILCS,1999,ARM,3599,3,0.06574261765189283,1.329043091495469
ILCS,2001,ARM,4037,4,0.04860843178819704,0.6405583098626526
ILCS,2002,ARM,4633,11,0.15654351909830932,1.9163125352114012
ILCS,2003,ARM,4640,16,0.27558236272878534,3.4011291605679723
ILCS,2004,ARM,6816,31,0.2911463448856461,4.525535041382767
ILCS,2005,ARM,5187,25,0.30591542429941637,4.304552410638208
ILCS,2006,ARM,5184,8,0.08682064933784378,0.8874585088599838
ILCS,2007,ARM,7870,2,0.021631492979976054,0.250616586825661
ILCS,2008,ARM,7872,7,0.06608485566684437,0.9262797863085475
ILCS,2009,ARM,7869,4,0.03041533687730955,0.33887809594844137
ILCS,2010,ARM,7869,8,0.12578040306194227,1.8127692308041656
ILCS,2011,ARM,7871,4,0.04513340342668244,0.5128141021152673
ILCS,2012,ARM,5184,8,0.06544219773991763,0.6478309999562631
ILCS,2013,ARM,5182,5,0.09281617805888559,1.549073943916756
ILCS,2014,ARM,5184,5,0.05863845603922446,0.6796417446118574
ILCS,2015,ARM,5184,9,0.0806341898287021,0.9127471964450212
ILCS,2016,ARM,5183,7,0.1763092140241507,3.287887028508201
ILCS,2017,ARM,7772,20,0.2853088479226523,4.249374283602743
ILCS,2018,ARM,5177,20,0.22922355531719693,2.864522656294066
ILCS,2019,ARM,5165,9,0.17226325586215832,2.282740419225575
ILCS,2020,ARM,5183,9,0.09506520078361784,0.7578731599275697
ILCS,2021,ARM,5183,14,0.1415117607348577,1.3985282944106268
ILCS,2022,ARM,5184,7,0.07045789935718158,0.7325146646608159
