term,coefficient_log_welfare
intercept,1.8263743433814965
log_hsize,-0.40254838819598837
urban_Urban,0.60998022825136
subnatid_131 – Mzuzu City,0.019987024931250506
subnatid_132 – Nkhata Bay,0.21015914854309212
subnatid_133 – Rumphi,0.22375658982241925
subnatid_134 – Karonga,0.29093866038959093
subnatid_135 – Chitipa,-0.09227489120442633
subnatid_220 – Ntcheu,-0.5057465822165287
subnatid_221 – Dedza,-0.2628552973116894
subnatid_222 – Salima,-0.11719067575763743
subnatid_223 – Lilongwe Rural,-0.22856331172979227
subnatid_224 – Lilongwe City,0.5746319503056188
subnatid_225 – Mchinji,-0.16604489300701653
subnatid_226 – Kasungu,0.09722106541683884
subnatid_227 – Dowa,-0.02511065950159297
subnatid_228 – Ntchisi,-0.2644058357294864
subnatid_229 – Nkhotakota,-0.11256638158358392
subnatid_301 – Nsanje,-0.28708807356602745
subnatid_302 – Chikawa,-0.27777687159668885
subnatid_303 – Mwanza,-0.4291959392272312
subnatid_304 – Blantyre Rural,-0.42816956927869293
subnatid_305 – Blantyre City,0.27724463986057335
subnatid_306 – Zomba Rural,-0.43445596065658576
subnatid_307 – Zomba City,-0.26188338684608614
subnatid_308 – Thyolo,-0.6435825668998134
subnatid_309 – Mulanje,-0.5273393570862961
subnatid_310 – Phalombe,-0.5916575653012743
subnatid_311 – Machinga,-0.3982528868396724
subnatid_312 – Mangochi,-0.5012226361921727
subnatid_313 – Chiradzulu,-0.5522561148210866
