hhid,subnatid,urban,hsize,weight,welfare_ppp_day,predicted_welfare_ppp_day,in_sample_predicted_welfare_ppp_day,actual_to_predicted_ratio,log_residual_crossfit,standardized_log_residual,inconsistency_flag,direction
252563005049.0,225 – Mchinji,Rural,2,324.36612,53435.87736543687,3.297460151459669,3.3806790188969615,16205.16243138911,9.693085139060685,16.795296546626258,True,reported welfare unusually high
343406801173.0,134 – Karonga,Rural,1,148.4,12186.407816487754,6.381536968122911,6.285229173391812,1909.6352300960357,7.554667523794552,13.090040947024205,True,reported welfare unusually high
313110008237.0,131 – Mzuzu City,Urban,2,151.02127,543.6131314845201,7.304342060725042,7.493895296822965,74.42328507689851,4.309768864337384,7.467575605239906,True,reported welfare unusually high
242418065255.0,224 – Lilongwe City,Urban,7,1827.4313,442.96033824619815,8.722409956074213,8.790349090362751,50.78416865028504,3.9275846652719486,6.80536157671845,True,reported welfare unusually high
313109004249.0,131 – Mzuzu City,Urban,1,75.510635,321.8871781529243,9.192571308469658,8.821843816999165,35.016011010580975,3.555805414332827,6.161176296198959,True,reported welfare unusually high
60627011005.0,306 – Zomba Rural,Rural,5,847.06177,46.279833894930256,1.9260416096986797,1.9553218635768466,24.028470445231203,3.1792393958386653,5.508696940115981,True,reported welfare unusually high
50513188055.0,305 – Blantyre City,Urban,5,983.43225,155.75599114333724,7.474968366683244,7.331906992542521,20.83701007184978,3.036730735951664,5.261770892430772,True,reported welfare unusually high
20272015142.0,302 – Chikawa,Rural,2,518.75,56.65193806940078,3.0237237801465744,3.023286860324975,18.735817881703,2.930437086574505,5.077594921963076,True,reported welfare unusually high
242403134158.0,224 – Lilongwe City,Urban,5,1305.3081,169.10528874213057,9.839818298408092,9.871215089111661,17.185814169910923,2.8440842859564475,4.927970641024127,True,reported welfare unusually high
90961054021.0,309 – Mulanje,Rural,3,580.8601,35.25106425739197,2.0894555026955275,2.0976414376042287,16.870933222514623,2.825592213493464,4.895929259325545,True,reported welfare unusually high
202079015033.0,220 – Ntcheu,Rural,4,1553.693,30.257326327271063,1.8565157120599727,1.959670699978444,16.297910182347884,2.791036889921245,4.836054936719906,True,reported welfare unusually high
50505119079.0,305 – Blantyre City,Urban,4,786.7458,127.79021830214,7.842772794551549,7.891197511847249,16.294009994898374,2.7907975552980067,4.835640239447211,True,reported welfare unusually high
101065801099.0,310 – Phalombe,Rural,12,3110.2778,18.382189319959373,1.1706922538075069,1.2243380198918217,15.70198253227863,2.753786980323441,4.77151168046509,True,reported welfare unusually high
40434007009.0,304 – Blantyre Rural,Rural,4,606.955,30.894246561540932,2.112221328609985,2.1177484276143295,14.626424865178254,2.6828298150511047,4.648563556543799,True,reported welfare unusually high
202079002077.0,220 – Ntcheu,Rural,4,1553.693,28.432470237092637,2.0043042722736,1.959670699978444,14.185705549008294,2.6522348061150405,4.595551307032322,True,reported welfare unusually high
121203801708.0,312 – Mangochi,Rural,8,1685.2756,22.134579510308665,1.5612056173091655,1.5537105470039976,14.17787590878579,2.6516827150165994,4.594594693778022,True,reported welfare unusually high
50503088104.0,305 – Blantyre City,Urban,5,983.43225,100.88785347145638,7.250401241821957,7.331906992542521,13.91479589977895,2.6329527272295326,4.562141074039266,True,reported welfare unusually high
50503088061.0,305 – Blantyre City,Urban,4,786.7458,111.46021960134956,8.059204235786275,7.891197511847249,13.83017681899896,2.6268529307720128,4.551571901385941,True,reported welfare unusually high
40441014006.0,304 – Blantyre Rural,Rural,4,606.955,29.151344980642847,2.112221328609985,2.1177484276143295,13.801273846537107,2.624760895623144,4.547947013106602,True,reported welfare unusually high
50514195012.0,305 – Blantyre City,Urban,1,196.68645,156.52938647891995,11.533231763498586,11.409981159511124,13.572031646352437,2.608011178657582,4.518924626583344,True,reported welfare unusually high
50512147090.0,305 – Blantyre City,Urban,6,1180.1187,90.46960659037353,6.810139477239291,6.8903624331437525,13.284545330200533,2.586601354328072,4.481827629758643,True,reported welfare unusually high
50505119088.0,305 – Blantyre City,Urban,6,1180.1187,89.02839877985751,6.810139477239291,6.8903624331437525,13.072918561713223,2.5705428050577743,4.454002835770565,True,reported welfare unusually high
242425031321.0,224 – Lilongwe City,Urban,1,261.0616,193.3749775515859,15.031924384821044,15.361675796324931,12.864286208547746,2.5544549609879086,4.426127282417542,True,reported welfare unusually high
50513188031.0,305 – Blantyre City,Urban,6,1180.1187,81.50722573465076,6.6954376315078665,6.8903624331437525,12.173547155616575,2.4992653317140845,4.330499711148518,True,reported welfare unusually high
